game_id,developer
42127be094186887f673aeb8af90c71c,Ubisoft Montreal
42127be094186887f673aeb8af90c71c,Ubisoft Entertainment
bbedc25e269f205bb2fa4020619ba091,Sega Games
bbedc25e269f205bb2fa4020619ba091,Ryu ga Gotoku Studios
a20705a236b6c8c4048b6af4dd73750f,Activision
a20705a236b6c8c4048b6af4dd73750f,Treyarch
68d44e4928a5a48b10d60557991133b4,Sony Interactive Entertainment
68d44e4928a5a48b10d60557991133b4,Insomniac Games
30041cba75e5e8ba4b6620e0affbec30,Nintendo
30041cba75e5e8ba4b6620e0affbec30,Game Freak
f41f79c250d13096aceeaa23770a1f4e,Galactic Cafe
e5f5a9df3928c42381aa16363c5e2245,Nintendo EAD
e5f5a9df3928c42381aa16363c5e2245,Nintendo
3e1f4f0398e974292ca4f9067a706e12,Spike ChunSoft
28331f3573666df0fc72e9dcb53a307b,Capcom
9566188e80725306dc36d11e6f05ed11,Square Enix
39cddb0f4157b7a2f0efd8ef1049a737,Nintendo
39cddb0f4157b7a2f0efd8ef1049a737,"Intelligent Systems Co., Ltd."
fa4cd6614aea9c585552608a9be0534d,"Sony Computer Entertainment, Inc. (SCEI)"
fa4cd6614aea9c585552608a9be0534d,SIE Santa Monica Studio
1a086c318ce1274a0126184e5c35e384,BioWare
1a086c318ce1274a0126184e5c35e384,Electronic Arts
98e96d44c1999a37ae0a7dc2eb117143,Playground Games
98e96d44c1999a37ae0a7dc2eb117143,Xbox Game Studios
05a9358746f1bc769874861c5119e3ac,Konami
05a9358746f1bc769874861c5119e3ac,Kojima Productions
58acb573c7c37d13de0b204a0fb2a12f,Grasshopper Manufacture
5b9cb061404b9a7ea34cfd31afa6fa3c,Microsoft Game Studios
5b9cb061404b9a7ea34cfd31afa6fa3c,Rare
c7628066b8ceb34626e77b6d4c332312,SIE Japan Studio
c7628066b8ceb34626e77b6d4c332312,Sony Interactive Entertainment
6cb5b00e0b6735f00af3e9d1fea97a4c,Treyarch
6cb5b00e0b6735f00af3e9d1fea97a4c,Activision
5d1ed8dabf15c68aad1a959cf3f749ff,Nintendo
5d1ed8dabf15c68aad1a959cf3f749ff,Nintendo EAD Software Development Group No.3
480b81c93a487860725b61ff510b05a3,Rozner Labs Software Group
480b81c93a487860725b61ff510b05a3,Nintendo
c111065e7fd67c42bce45dd900c922ad,Gearbox Publishing
c111065e7fd67c42bce45dd900c922ad,Unknown Worlds Entertainment
c7ba513068df843794e4d85c2f34639c,Housemarque
c7ba513068df843794e4d85c2f34639c,Sony Interactive Entertainment
037a3bbad0afd15f1cf7fee684d95c40,Nintendo
037a3bbad0afd15f1cf7fee684d95c40,Nintendo EAD
7f1583c0ffc040f85dff88627c9151ec,Fellow Traveller
7f1583c0ffc040f85dff88627c9151ec,Jump Over The Age
4c0ad986af29ccf76a5c0ce5e026daf4,Ryū Ga Gotoku Studios
aa7dfc29f22b18184d14c9591357d39a,Facepunch Studios
aa7dfc29f22b18184d14c9591357d39a,Valve
4a714c9e2b2cba689953f2ab7f65cecf,MachineGames
4a714c9e2b2cba689953f2ab7f65cecf,Bethesda Softworks
f9806ca69f2a47060c21115393f1dbe1,Aspyr Media
f9806ca69f2a47060c21115393f1dbe1,Ion Storm
b26b8ea61b9598c7d079fe6ae7a70520,2K Marin
b26b8ea61b9598c7d079fe6ae7a70520,2K Games
67a0da5653e6d0b8cfb8dc7b65701dec,Sega
67a0da5653e6d0b8cfb8dc7b65701dec,Atlus
022ef1b29ea1acb3323d684e535b2272,Dodge Roll
022ef1b29ea1acb3323d684e535b2272,Devolver Digital
10b7703ccb71a70521c84684251a53a3,Dramatic Create
10b7703ccb71a70521c84684251a53a3,NOVECT
44771ce61d89b1e3e48f3ecb3e3135ac,Yacht Club Games
73271611271998ad3cef19c8f7a5456b,Panic
73271611271998ad3cef19c8f7a5456b,Campo Santo
e25abd907bb900294de2762816c65b28,FromSoftware
e25abd907bb900294de2762816c65b28,Bandai Namco Entertainment
a70931f60cb8cb6cb9455aad25adddc0,The Game Kitchen
a70931f60cb8cb6cb9455aad25adddc0,Team17
a00311cca83b1bda63ebca55a7caeeec,Square Enix
ce5f564187ae19b70d15e3cc8572dd89,Half Mermaid
1a50fb62fb92e6a1d99b5cd685e62de5,Capcom
c1b4f2789516fcfd841ba0c45f787322,Capcom
c1b4f2789516fcfd841ba0c45f787322,Capcom Production Studio 1
ffc995d19955e553f905e5fa742ceaa4,Sony Interactive Entertainment
ffc995d19955e553f905e5fa742ceaa4,Naughty Dog
d0ae063f6acf3f45caa32ba0b0f347b8,BlitWorks
d0ae063f6acf3f45caa32ba0b0f347b8,Team Meat
5396aed79d50cfbdb69119b91aeffc85,BioWare
5396aed79d50cfbdb69119b91aeffc85,EA
0497c2ed1f6324ccb2406b83285b9e55,Vanripper
c709bf13596fa0f926150db0382ac1d3,Game Freak
c709bf13596fa0f926150db0382ac1d3,Nintendo
3c4b3dc058316045f53d6fb71926533d,Activision
3c4b3dc058316045f53d6fb71926533d,Vicarious Visions
59fd7f028891ba9536799e10b9d62b08,Nintendo
7d34c3e4f5868d0f5d62bb1243418755,Riot Games
19fbb545d7dc62bd2ba83f8898c1887f,Nintendo
3e41643803d4428b704a87b7e1603a66,Naughty Dog
3e41643803d4428b704a87b7e1603a66,"Sony Computer Entertainment, Inc. (SCEI)"
e89a25ffe25b0cff38bbdd81b19bb684,Capcom
3a27a83116d5a016089c536fd80c297c,Kikiyama
3a27a83116d5a016089c536fd80c297c,"DeNA Co., Ltd."
e59af5f2190784ec1f6976840ffebb59,Gathering of Developers
e59af5f2190784ec1f6976840ffebb59,Remedy Entertainment
981e3a2e1ef186cb7151153257002992,Clickteam
981e3a2e1ef186cb7151153257002992,Scottgames
11ec278006544c571280e35067da9467,Nintendo
11ec278006544c571280e35067da9467,Rare
78c142a769f8d83d87d2cd72cadf719a,Nintendo
78c142a769f8d83d87d2cd72cadf719a,Game Freak
3a1ea2b7ed65c01151a247bf678a652a,Red Barrels
c9afdfea833ca326c46aba2a7ca8731d,IO Interactive
0b5245918af7e32ed69179d5cb70923c,Raw Fury
0b5245918af7e32ed69179d5cb70923c,Shedworks
f5c27c9a5f0abd6ee7e4b0d1fc2d2056,Sora
f5c27c9a5f0abd6ee7e4b0d1fc2d2056,Nintendo
d54f990f190dcbb58e98fd4c1d7b2f5d,HAL Laboratory
d54f990f190dcbb58e98fd4c1d7b2f5d,Nintendo
ab69777e28bb6495e8a724869f585889,Bandai Namco Entertainment
ab69777e28bb6495e8a724869f585889,Bandai Namco Studios
ffc1164fa0298471b7b59fd499ee0afa,07th Expansion
8eeeba2f76b4b57fc8218bf545d5cab9,Buena Vista Games
8eeeba2f76b4b57fc8218bf545d5cab9,Square Enix
ba87086c0fbdd63022a2a4350625b596,Pillow Castle Games
f75d964331eeb909f247264caa5083a2,Kojima Productions
f75d964331eeb909f247264caa5083a2,505 Games
